(PRICE)

+----------------------------------+-------+--------+------------+--+
|           neighborhood           |  min  |  max   |    avg     |
+----------------------------------+-------+--------+------------+--+
| NULL                             | NULL  | NULL   | NULL       |
| Battery Park City                | 1         | 2         | 1.1                 |
| Bowery                           | 1         | 2         | 1.25                |
| COLUMBUS CIRCLE                  | 2         | 2         | 2.0                 |
| Central Park                     | 3         | 3         | 3.0                 |
| Chelsea                          | 1         | 9         | 1.7738095238095237  |
| Chinatown                        | 1         | 3         | 1.8                 |
| Chinatown                        | 1         | 9         | 2.0                 |
| Civic Center                     | 1         | 1         | 1.0                 |
| Clinton                          | 1         | 8         | 1.625               |
| Columbus circle                  | 2         | 2         | 2.0                 |
| Downtown                         | 1         | 8         | 1.9                 |
| EAST 91ST                        | 2         | 2         | 2.0                 |
| East Harlem                      | 1         | 9         | 1.719626168224299   |
| East Village                     | 1         | 9         | 1.9875776397515528  |
| FLAT IRON                        | 1         | 1         | 1.0                 |
| Financial District               | 1         | 9         | 1.9791666666666667  |
| Flatiron                         | 1         | 6         | 1.9285714285714286  |
| Flatiron District                | 2         | 2         | 2.0                 |
| Fort George                      | 1         | 2         | 1.4                 |
| Garment District                 | 1         | 1         | 1.0                 |
| Gramercy                         | 1         | 8         | 1.8870967741935485  |
| Gramercy Park                    | 1         | 1         | 1.0                 |
| Greenwich Village                | 1         | 9         | 1.8653846153846154  |
| Hamilton Heights                 | 1         | 3         | 1.6                 |
| Harlem                           | 1         | 2         | 1.434782608695652   |
| Harlem                           | 1         | 9         | 1.8529411764705883  |
| Hell's Kitchen                   | 1         | 1         | 1.0                 |
| Hells Kitchen                    | 2         | 2         | 2.0                 |
| In`wood                          | 1         | 2         | 1.3333333333333333  |
| Inwood                           | 1         | 9         | 2.3                 |
| Inwood                           | 1         | 9         | 2.388059701492537   |
| Kips Bay                         | 1         | 2         | 1.2727272727272727  |
| Koreatown                        | 1         | 1         | 1.0                 |
| Las Vegas                        | 2         | 2         | 2.0                 |
| Little Italy                     | 1         | 2         | 1.5                 |
| Lower East Side                  | 1         | 9         | 2.0                 |
| MANHATTAN                        | 3         | 3         | 3.0                 |
| MORNING SIDE                     | 3         | 3         | 3.0                 |
| Manhattan                        | 1         | 1         | 1.0                 |
| Manhattan                        | 2         | 2         | 2.0                 |
| Manhattan ny                     | 2         | 2         | 2.0                 |
| Midtown                          | 1         | 3         | 1.3103448275862069  |
| Midtown Center                   | 1         | 1         | 1.0                 |
| Midtown East                     | 1         | 9         | 1.889908256880734   |
| Midtown West                     | 1         | 9         | 1.6041666666666667  |
| Midtown east                     | 1         | 1         | 1.0                 |
| Morningside Heights              | 4         | 4         | 4.0                 |
| Murray Hill                      | 1         | 8         | 1.7419354838709677  |
| New York,                        | 2         | 2         | 2.0                 |
| NoLita                           | 1         | 1         | 1.0                 |
| Nolita                           | 1         | 9         | 1.8695652173913044  |
| RIVERDALE                        | 2         | 2         | 2.0                 |
| Roosevelt Island                 | 1         | 1         | 1.0                 |
| SoHo                             | 1         | 8         | 1.8                 |
| Soho                             | 2         | 2         | 2.0                 |
| Sutton Place                     | 1         | 1         | 1.0                 |
| Theater District - Times Square  | 1         | 1         | 1.0                 |
| TriBeCa                          | 1         | 6         | 2.1481481481481484  |
| Tribeca                          | 1         | 1         | 1.0                 |
| Tudor City                       | 1         | 1         | 1.0                 |
| Union Square                     | 1         | 5         | 1.6071428571428572  |
| Upper East Side                  | 1         | 9         | 1.6105263157894736  |
| Upper Manhattan                  | 1         | 5         | 2.942857142857143   |
| Upper West Side                  | 1         | 9         | 1.7911646586345382  |
| Upper east side                  | 2         | 2         | 2.0                 |
| Upper west side                  | 1         | 1         | 1.0                 |
| W. 185th Street                  | 2         | 2         | 2.0                 |
| Washington Heights               | 1         | 3         | 1.8                 |
| West Village                     | 1         | 9         | 1.6875              |
| Yonkers                          | 1         | 1         | 1.0                 |
| _Inwood_                         | 1         | 1         | 1.0                 |
| dunellen nj                      | 3         | 3         | 3.0                 |
| murray hill                      | 1         | 1         | 1.0                 |
| upper east side                  | 1         | 1         | 1.0                 |
| upper west side                  | 1         | 1         | 1.0                 |
| uptown                           | 1         | 1         | 1.0                 |
| west village                     | 2         | 2         | 2.0                 |
+----------------------------------+-----------+-----------+---------------------+--+



(IMAGES)

+----------------------------------+-------+-------+---------------------+--+
|           neighborhood           |  min  |  max  |         avg         |
+----------------------------------+-------+-------+---------------------+--+
| NULL                             | NULL  | NULL  | NULL                |
|   Harlem                         | 0     | 0     | 0.0                 |
|  Hamilton Heights                | 0     | 0     | 0.0                 |
|  Harlem                          | 0     | 0     | 0.0                 |
|  Harlem                          | 0     | 0     | 0.0                 |
|  In`wood                         | 0     | 0     | 0.0                 |
|  Inwood                          | 0     | 0     | 0.0                 |
|  Inwood                          | 0     | 0     | 0.0                 |
|  Manhattan                       | 0     | 0     | 0.0                 |
|  Manhattan                       | 0     | 0     | 0.0                 |
|  New York cty                    | 0     | 0     | 0.0                 |
|  Washington Heights              | 0     | 0     | 0.0                 |
|  uptown                          | 0     | 0     | 0.0                 |
|  uptown                          | 0     | 0     | 0.0                 |
| 214 W.96th St. 3A                | 9     | 9     | 9.0                 |
| 257 W. 10th St. 1W               | 9     | 9     | 9.0                 |
| 56 Beaver St.,102                | 0     | 0     | 0.0                 |
| Astoria                          | 4     | 4     | 4.0                 |
| Battery Park                     | 0     | 14    | 4.6923076923076925  |
| Battery Park City                | 3     | 8     | 6.0                 |
| Bowery                           | 0     | 4     | 3.0                 |
| COLUMBUS CIRCLE                  | 5     | 5     | 5.0                 |
| Central Park                     | 7     | 7     | 7.0                 |
| Chelsea                          | 0     | 24    | 5.892857142857143   |
| Chinatown                        | 4     | 8     | 5.6                 |
| Chinatown                        | 0     | 8     | 6.666666666666667   |
| Civic Center                     | 4     | 4     | 4.0                 |
| Clinton                          | 3     | 8     | 6.0                 |
